Year,Month,Arctic_Sea_Ice_Extent
1979,1,7.05
1980,1,7.67
1981,1,7.14
1982,1,7.3
1983,1,7.39
1984,1,6.81
1985,1,6.7
1986,1,7.41
1987,1,7.28
1988,1,7.37
1989,1,7.01
1990,1,6.14
1991,1,6.47
1992,1,7.47
1993,1,6.4
1994,1,7.14
1995,1,6.08
1996,1,7.58
1997,1,6.69
1998,1,6.54
1999,1,6.12
2000,1,6.25
2001,1,6.73
2002,1,5.83
2003,1,6.12
2004,1,5.98
2005,1,5.5
2006,1,5.86
2007,1,4.27
2008,1,4.69
2009,1,5.26
2010,1,4.87
2011,1,4.56
2012,1,3.57
2013,1,5.21
2014,1,5.22
2015,1,4.62
2016,1,4.53
2017,1,4.82
2018,1,4.79
2019,1,4.36
2020,1,4
2021,1,4.92
