Year,Month,Temperature_Anomaly
1880,1,0.15
1881,1,0.07
1882,1,0.1
1883,1,0.17
1884,1,0.28
1885,1,0.33
1886,1,0.31
1887,1,0.36
1888,1,0.17
1889,1,0.1
1890,1,0.34
1891,1,0.22
1892,1,0.27
1893,1,0.31
1894,1,0.3
1895,1,0.22
1896,1,0.11
1897,1,0.11
1898,1,0.27
1899,1,0.17
1900,1,0.08
1901,1,0.16
1902,1,0.28
1903,1,0.37
1904,1,0.47
1905,1,0.26
1906,1,0.22
1907,1,0.38
1908,1,0.42
1909,1,0.48
1910,1,0.43
1911,1,0.44
1912,1,0.36
1913,1,0.34
1914,1,0.15
1915,1,0.14
1916,1,0.36
1917,1,0.46
1918,1,0.3
1919,1,0.28
1920,1,0.27
1921,1,0.19
1922,1,0.29
1923,1,0.27
1924,1,0.27
1925,1,0.22
1926,1,0.11
1927,1,0.22
1928,1,0.2
1929,1,0.36
1930,1,0.16
1931,1,0.09
1932,1,0.16
1933,1,0.29
1934,1,0.12
1935,1,0.2
1936,1,0.15
1937,1,0.03
1938,1,0.01
1939,1,0.01
1940,1,0.07
1941,1,0.09
1942,1,0.11
1943,1,0.1
1944,1,0.07
1945,1,0.04
1946,1,0.07
1947,1,0.03
1948,1,0.11
1949,1,0.11
1950,1,0.18
1951,1,0.07
1952,1,0.07
1953,1,0.07
1954,1,0.13
1955,1,0.14
1956,1,0.19
1957,1,0.04
1958,1,0.01
1959,1,0.01
1960,1,0.03
1961,1,0.01
1962,1,0.01
1963,1,0.03
1964,1,0.2
1965,1,0.11
1966,1,0.06
1967,1,0.02
1968,1,0.08
1969,1,0.02
1970,1,0.01
1971,1,0.08
1974,1,0.07
1975,1,0.01
1976,1,0.1
1977,1,0.08
1978,1,0.12
1979,1,0.17
1980,1,0.2
1981,1,0.21
1982,1,0.22
1983,1,0.21
1984,1,0.21
1985,1,0.22
1986,1,0.24
1987,1,0.27
1988,1,0.31
1989,1,0.33
1990,1,0.33
1991,1,0.33
1992,1,0.33
1993,1,0.33
1994,1,0.34
1995,1,0.37
1996,1,0.4
1997,1,0.42
1998,1,0.44
1999,1,0.47
2000,1,0.5
2001,1,0.52
2002,1,0.55
2003,1,0.58
2004,1,0.61
2005,1,0.62
2006,1,0.62
2007,1,0.63
2008,1,0.64
2009,1,0.64
2010,1,0.65
2011,1,0.67
2012,1,0.7
2013,1,0.74
2014,1,0.79
2015,1,0.83
2016,1,0.88
2017,1,0.91
2018,1,0.92
2019,1,0.93
2020,1,0.94
2021,1,0.94
